Timestamp,Interval Return (%),Portfolio Value ($)
2026-03-03 14:30:00+00:00,0.0,10000.0
2026-03-03 15:00:00+00:00,-1.5459791364046138,9845.402086359538
2026-03-03 15:30:00+00:00,1.7197148989202073,10014.714932897265
2026-03-03 16:00:00+00:00,0.7262567108276852,10087.447472167692
2026-03-03 16:30:00+00:00,0.3456133656347091,10122.311038882883
2026-03-03 17:00:00+00:00,0.5690361645502154,10179.910649382387
2026-03-03 17:30:00+00:00,-0.7106816271240487,10107.563894739582
2026-03-03 18:00:00+00:00,0.487429257051973,10156.831118337763
2026-03-03 18:30:00+00:00,0.03236579032537513,10160.118457001226
2026-03-03 19:00:00+00:00,-0.9644003177548655,10062.134242317636
2026-03-03 19:30:00+00:00,-0.1829655389080942,10043.724004175523
2026-03-03 20:00:00+00:00,0.11797250761027024,10055.572837240703
2026-03-03 20:30:00+00:00,-0.2734022529605863,10028.080674555593
2026-03-04 14:30:00+00:00,2.1532564510432657,10244.010968596285
2026-03-04 15:00:00+00:00,2.093433310692709,10458.462506563896
2026-03-04 15:30:00+00:00,0.28491703207439234,10488.260447538209
2026-03-04 16:00:00+00:00,-0.9430962797242769,10389.346053449684
2026-03-04 16:30:00+00:00,0.5789922303460778,10449.499559882925
2026-03-04 17:00:00+00:00,0.1689362731793046,10467.15255500528
2026-03-04 17:30:00+00:00,-0.2691718274485419,10438.977929191144
2026-03-04 18:00:00+00:00,-0.3849550763958481,10398.792553728881
2026-03-04 18:30:00+00:00,0.2728538178844932,10427.166056225618
2026-03-04 19:00:00+00:00,-0.12868952535859704,10413.74738571951
2026-03-04 19:30:00+00:00,-0.20983782504997248,10391.895404699117
2026-03-04 20:00:00+00:00,-0.09905788963775297,10381.601412417858
2026-03-04 20:30:00+00:00,-0.29677759684457133,10350.791145232104
2026-03-05 14:30:00+00:00,-0.7694303435261621,10271.149017365668
2026-03-05 15:00:00+00:00,-1.1353124615917147,10154.539382622861
2026-03-05 15:30:00+00:00,0.5858650575838228,10214.031280624236
2026-03-05 16:00:00+00:00,-1.142049633931849,10097.381973774181
2026-03-05 16:30:00+00:00,-0.3357206972396459,10063.482972608877
2026-03-05 17:00:00+00:00,-0.7396735231230697,9989.04605355649
2026-03-05 17:30:00+00:00,-1.8870722310001513,9800.545539338009
2026-03-05 18:00:00+00:00,0.2913302683889661,9829.097494961345
2026-03-05 18:30:00+00:00,0.642219516169186,9892.221877337284
2026-03-05 19:00:00+00:00,0.23432884635202167,9915.40220674103
2026-03-05 19:30:00+00:00,0.3686124510541107,9951.951613847172
2026-03-05 20:00:00+00:00,0.8951638173602064,10041.037883815527
2026-03-05 20:30:00+00:00,0.6311597586756901,10104.41287429155
2026-03-06 14:30:00+00:00,-2.421565514978063,9859.727896636703
2026-03-06 15:00:00+00:00,0.8603758252507645,9944.55861189487
2026-03-06 15:30:00+00:00,-0.11448362721934346,9933.17372048502
2026-03-06 16:00:00+00:00,0.10134374118790936,9943.240370352054
2026-03-06 16:30:00+00:00,0.26759307003383,9969.847792519922
2026-03-06 17:00:00+00:00,-0.5920314333218631,9910.823159733858
2026-03-06 17:30:00+00:00,-0.4318345805178866,9868.024798116152
2026-03-06 18:00:00+00:00,-0.16377427144339485,9851.863512397184
2026-03-06 18:30:00+00:00,-0.5308389542544081,9799.565983153401
2026-03-06 19:00:00+00:00,0.1048711353058909,9809.842899254985
2026-03-06 19:30:00+00:00,-0.5163014477040485,9759.194538348638
2026-03-06 20:00:00+00:00,-1.7725404377152734,9586.208868761109
2026-03-06 20:30:00+00:00,-0.08801917305681596,9577.771166987326
