Ticker,Momentum (%),Monthly Vol (%),Ann. Vol (%),Weight (%),Stop Loss Price,Sector,recommendation,Sentiment Boost,Adjusted Momentum (%)
SNDK,1110.9014114161446,59.5246842256136,206.19955476651288,2.3806133516629484,571.8239868164063,Information Technology,buy,2.5,1113.4014114161446
CIEN,271.07588344928854,19.10443169625917,66.1796926953003,7.416641463762051,313.83001098632815,Information Technology,buy,2.5,273.57588344928854
TER,171.1384260660044,13.527581622448546,46.86091734723181,10.473556889891453,287.9066162109375,Information Technology,buy,2.5,173.6384260660044
WBD,142.01030279568303,25.944601629946884,89.87473641040462,5.461497011864271,25.937999725341797,Communication Services,hold,0.0,142.01030279568303
AMAT,132.70646194629512,9.835921750932258,34.072632423773,14.403383318925236,334.6526184082031,Information Technology,buy,2.5,135.20646194629512
MRNA,122.37442654839259,18.772444056468416,65.02965377609537,7.5477834031468864,69.66000137329102,Health Care,hold,0.0,122.37442654839259
ALB,112.17806420165162,13.434000811159228,46.536743907698586,10.546499671192668,160.8029983520508,Materials,buy,2.5,114.67806420165162
FIX,103.48477522265264,11.948370695817626,41.39037022564646,11.857507955654208,1285.7650268554687,Industrials,strong_buy,5.0,108.48477522265264
KEYS,88.04992984485946,14.938891562170076,51.74983838888113,9.48428810054181,276.59698791503905,Information Technology,buy,2.5,90.54992984485946
NEM,75.82181320271432,6.9341870114270385,24.020728425951642,20.428228833358475,116.76369781494141,Materials,buy,2.5,78.32181320271432
