Ticker,Momentum (%),Monthly Vol (%),Ann. Vol (%),Weight (%),Company,Sector,Industry
SNDK,492.4117986596839,45.63425818213251,158.08170747433851,3.6132035583442716,Sandisk,Information Technology,"Technology Hardware, Storage & Peripherals"
WDC,217.79787555118028,16.380099682941573,56.74232976779532,10.066230806751223,Western Digital,Information Technology,"Technology Hardware, Storage & Peripherals"
CIEN,155.07121276691453,20.969126352430912,72.63918446548357,7.863268181746042,Ciena,Information Technology,Communications Equipment
MU,150.74194662581,20.047867054338745,69.44784864300182,8.224608812457081,Micron Technology,Information Technology,Semiconductors
WBD,140.72216005218144,26.483210709885935,91.74053299414935,6.226052643402941,Warner Bros. Discovery,Communication Services,Broadcasting
STX,136.59153003990107,13.51394068984375,46.81366377056355,12.201168247689626,Seagate Technology,Information Technology,"Technology Hardware, Storage & Peripherals"
ALB,135.91822363009038,13.175145689983367,45.640043464346604,12.514917703827727,Albemarle Corporation,Materials,Specialty Chemicals
TER,131.99755655936664,10.616305484998614,36.7759609773795,15.531378998002143,Teradyne,Information Technology,Semiconductor Materials & Equipment
INTC,107.46804581149152,17.24753711573512,59.7472211797664,9.55996574697353,Intel,Information Technology,Semiconductors
FIX,104.62675287060259,11.612330447587079,40.22629265899972,14.199205300805403,Comfort Systems USA,Industrials,Construction & Engineering
